0 184.00871
51.020408 184.08711
102.04082 184.08711
153.06122 184.04489
204.08163 183.92909
255.10204 183.72691
306.12245 183.42556
357.14286 183.01225
408.16327 182.47382
459.18367 181.79559
510.20408 180.96254
561.22449 179.9596
612.2449 178.77175
663.26531 177.38393
714.28571 175.7811
765.30612 173.9501
816.32653 171.88527
867.34694 169.58285
918.36735 167.03907
969.38776 164.25016
1020.4082 161.21235
1071.4286 157.92187
1122.449 154.38111
1173.4694 150.61712
1224.4898 146.6631
1275.5102 142.55226
1326.5306 138.31781
1377.551 133.99296
1428.5714 129.6109
1479.5918 125.18933
1530.6122 120.68382
1581.6327 116.03439
1632.6531 111.18111
1683.6735 106.064
1734.6939 100.62312
1785.7143 94.798505
1836.7347 88.500594
1887.7551 81.52141
1938.7755 73.62337
1989.7959 64.568894
2040.8163 54.120398
2091.8367 42.040302
2142.8571 28.091023
2193.8776 12.040899
