    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.000000E+00    0.000000E+00    0.000000E+00    4.758545E-02
    1.431570E-01    2.387286E-01    3.343002E-01    4.298718E-01
    5.254434E-01    6.210150E-01    7.165866E-01    8.121582E-01
    9.077297E-01        1.003301        1.098873        1.194445
        1.290016        1.385588        1.481159        1.576731
        1.672302        1.767874        1.863446        1.959017
        2.054589        2.150161        2.245732        2.341304
        2.436875        2.532447        2.628018        2.723590
        2.819162        2.914733        3.010305        3.105876
        3.201448        3.297019        3.392591        3.488163
        3.583734        3.679306        3.774878        3.870449
        3.966021        4.061592        4.157164        4.252736
        4.348307        4.443879        4.539450        4.635022
        4.730593        4.826165        4.921737        5.017308
        5.112880        5.208451        5.304023        5.399594
        5.495166        5.590738        5.686309        5.781881
        5.877452        5.973024        6.068595        6.164167
        6.259739        6.355310        6.450882        6.546453
        6.642025        6.737597        6.833169        6.928740
